date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:10	72449/72449	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:02%20GMT	https://fabrx.co/muze/html/templates/saas-style-three.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/saas-style-three.html	(from )
20:06:10	1104/1104	---MCZ	200	added ('OK')	text/plain	etag:W/%225ffd820b-1010%22	https://fabrx.co/robots.txt		(from )
20:06:11	13679/13679	---MCZ	200	added ('OK')	text/css	etag:W/%225ffeaaa1-356f%22	https://fabrx.co/muze/assets/vendor/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/ON/fabrx.co/muze/assets/vendor/swiper/swiper-bundle.min.css	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:12	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%225ffeac4b-65c5%22	https://fabrx.co/muze/assets/vendor/aos/dist/aos.css	C:/My%20Web%20Sites/ON/fabrx.co/muze/assets/vendor/aos/dist/aos.css	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:13	294178/294178	---MCZ	200	added ('OK')	text/css	etag:W/%225ffea9f3-47d22%22	https://fabrx.co/muze/assets/css/theme.min.css	C:/My%20Web%20Sites/ON/fabrx.co/muze/assets/css/theme.min.css	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:13	29882/29882	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jul%202021%2009:40:07%20GMT	https://fabrx.co/muze/html/templates/saas-style-one.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/saas-style-one.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:13	70125/70125	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:01%20GMT	https://fabrx.co/muze/html/templates/saas-style-two.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/saas-style-two.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:13	34409/34409	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:00%20GMT	https://fabrx.co/muze/html/templates/dashboard.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/dashboard.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:14	33804/33804	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:02%20GMT	https://fabrx.co/muze/html/templates/dashboard-dark.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/dashboard-dark.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:14	58244/58244	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:02%20GMT	https://fabrx.co/muze/html/templates/education.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/education.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:14	14032/14032	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:02%20GMT	https://fabrx.co/muze/html/templates/portfolio.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/portfolio.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:15	32171/32171	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:06:03%20GMT	https://fabrx.co/muze/html/templates/travel.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/travel.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
20:06:15	28602/28602	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Jan%202021%2008:05:59%20GMT	https://fabrx.co/muze/html/templates/agency.html	C:/My%20Web%20Sites/ON/fabrx.co/muze/html/templates/agency.html	(from https://fabrx.co/muze/html/templates/saas-style-three.html)
